ADDRESS
AREAS
CHOOSE
CHOOSECOLS
CHOOSEROWS
COLUMN
COLUMNS
DROP
EXPAND
FILTER
FORMULATEXT
GETPIVOTDATA
HLOOKUP
HSTACK
HYPERLINK
IMAGE
INDEX
INDIRECT
LOOKUP
MATCH
OFFSET
ROW
ROWS
RTD
SORT
SORTBY
TAKE
TOCOL
TOROW
TRANSPOSE
UNIQUE
VLOOKUP
VSTACK
WRAPCOLS
WRAPROWS
XLOOKUP
XMATCH
