MID
MIDB
NUMBERVALUE
PHONETIC
PROPER
REPLACE
REPLACEBs
REPT
RIGHT
RIGHTB
SEARCH
SEARCHB
SUBSTITUTE
T
TEXT
TEXTAFTER
TEXTBEFORE
TEXTJOIN
TEXTSPLIT
TRIM
UNICHAR
UNICODE
UPPER
VALUE
VALUETOTEXT
