AVEDEV
AVERAGE
AVERAGEA
AVERAGEIF
AVERAGEIFS
BETA.DIST
BETA.INV
BINOM.DIST
BINOM.DIST.RANGE
BINOM.INV
CHISQ.DIST
CHISQ.DIST.RT
CHISQ.INV
CHISQ.INV.RT
CHISQ.TEST
CONFIDENCE.NORM
CONFIDENCE.T
CORREL
COUNT
COUNTA
COUNTBLANK
COUNTIF
COUNTIFS
COVARIANCE.P
COVARIANCE.S
DEVSQ
EXPON.DIST
F.DIST
F.DIST.RT
F.INV
F.INV.RT
F.TEST
FISHER
FISHERINV
FORECAST
FORECAST.ETS
FORECAST.ETS.CONFINT
FORECAST.ETS.SEASONALITY
FORECAST.ETS.STAT
FORECAST.LINEAR
FREQUENCY
GAMMA
GAMMA.DIST
GAMMA.INV
GAMMALN
GAMMALN.PRECISE
GAUSS
GEOMEAN
GROWTH
HARMEAN
HYPGEOM.DIST
INTERCEPT
KURT
LARGE
LINEST
LOGEST
LOGNORM.DIST
LOGNORM.INV
MAX
MAXA
MAXIFS
MEDIAN
MIN
MINA
MINIFS
MODE.MULT
MODE.SNGL
NEGBINOM.DIST
NORM.DIST
NORM.INV
NORM.S.DIST
NORM.S.INV
PEARSON
PERCENTILE.EXC
PERCENTILE.INC
PERCENTRANK.EXC
PERCENTRANK.INC
PERMUT
PERMUTATIONA
PHI
POISSON.DIST
PROB
QUARTILE.EXC
QUARTILE.INC
RANK.AVG
RANK.EQ
RSQ
SKEW
SKEW.P
SLOPE
SMALL
STANDARDIZE
STDEV.P
STDEV.S
STDEVA
STDEVPA
STEYX
T.DIST
T.DIST.2T
T.DIST.RT
T.INV
T.INV.2T
T.TEST
TREND
TRIMMEAN
VAR.P
VAR.S
VARA
VARPA
WEIBULL.DIST
Z.TEST
